City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,<tr>,<td>,</td>,</tr>,<tr><td>City_ID</td><td>City</td><td>Cloudiness</td><td>Country</td><td>Date</td><td>Humidity</td><td>Lat</td><td>Lng</td><td>Max Temp</td><td>Wind Speed</td></tr>,,,,,<tr><td>City_ID</td><td>City</td><td>Cloudiness</td><td>Country</td><td>Date</td><td>Humidity</td><td>Lat</td><td>Lng</td><td>Max Temp</td><td>Wind Speed</td></tr>
0,Labuhan,4,ID, 03/15/2021,84,-6.8844,112.2051,77.92,3.69,<tr>,<td>,</td>,</tr>,<tr><td>0</td><td>Labuhan</td><td>4</td><td>ID</td><td> 03/15/2021</td><td>84</td><td>-6.8844</td><td>112.2051</td><td>77.92</td><td>3.69</td></tr>,,,,,<tr><td>0</td><td>Labuhan</td><td>4</td><td>ID</td><td> 03/15/2021</td><td>84</td><td>-6.8844</td><td>112.2051</td><td>77.92</td><td>3.69</td></tr>
1,Neuquen,20,AR, 03/15/2021,31,-38.9516,-68.0591,89.6,3.44,<tr>,<td>,</td>,</tr>,<tr><td>1</td><td>Neuquen</td><td>20</td><td>AR</td><td> 03/15/2021</td><td>31</td><td>-38.9516</td><td>-68.0591</td><td>89.6</td><td>3.44</td></tr>,,,,,<tr><td>1</td><td>Neuquen</td><td>20</td><td>AR</td><td> 03/15/2021</td><td>31</td><td>-38.9516</td><td>-68.0591</td><td>89.6</td><td>3.44</td></tr>
2,Faya,0,SA, 03/15/2021,67,18.3851,42.4509,66.2,3.44,<tr>,<td>,</td>,</tr>,<tr><td>2</td><td>Faya</td><td>0</td><td>SA</td><td> 03/15/2021</td><td>67</td><td>18.3851</td><td>42.4509</td><td>66.2</td><td>3.44</td></tr>,,,,,<tr><td>2</td><td>Faya</td><td>0</td><td>SA</td><td> 03/15/2021</td><td>67</td><td>18.3851</td><td>42.4509</td><td>66.2</td><td>3.44</td></tr>
3,Hithadhoo,91,MV, 03/15/2021,64,-0.6,73.0833,83.48,6.62,<tr>,<td>,</td>,</tr>,<tr><td>3</td><td>Hithadhoo</td><td>91</td><td>MV</td><td> 03/15/2021</td><td>64</td><td>-0.6</td><td>73.0833</td><td>83.48</td><td>6.62</td></tr>,,,,,<tr><td>3</td><td>Hithadhoo</td><td>91</td><td>MV</td><td> 03/15/2021</td><td>64</td><td>-0.6</td><td>73.0833</td><td>83.48</td><td>6.62</td></tr>
4,Avarua,20,CK, 03/15/2021,94,-21.2078,-159.775,78.8,8.05,<tr>,<td>,</td>,</tr>,<tr><td>4</td><td>Avarua</td><td>20</td><td>CK</td><td> 03/15/2021</td><td>94</td><td>-21.2078</td><td>-159.775</td><td>78.8</td><td>8.05</td></tr>,,,,,<tr><td>4</td><td>Avarua</td><td>20</td><td>CK</td><td> 03/15/2021</td><td>94</td><td>-21.2078</td><td>-159.775</td><td>78.8</td><td>8.05</td></tr>
5,Bluff,88,NZ, 03/15/2021,91,-46.6,168.3333,48,7,<tr>,<td>,</td>,</tr>,<tr><td>5</td><td>Bluff</td><td>88</td><td>NZ</td><td> 03/15/2021</td><td>91</td><td>-46.6</td><td>168.3333</td><td>48</td><td>7</td></tr>,,,,,<tr><td>5</td><td>Bluff</td><td>88</td><td>NZ</td><td> 03/15/2021</td><td>91</td><td>-46.6</td><td>168.3333</td><td>48</td><td>7</td></tr>
6,Keetmanshoop,28,NA, 03/15/2021,29,-26.5833,18.1333,77,13.8,<tr>,<td>,</td>,</tr>,<tr><td>6</td><td>Keetmanshoop</td><td>28</td><td>NA</td><td> 03/15/2021</td><td>29</td><td>-26.5833</td><td>18.1333</td><td>77</td><td>13.8</td></tr>,,,,,<tr><td>6</td><td>Keetmanshoop</td><td>28</td><td>NA</td><td> 03/15/2021</td><td>29</td><td>-26.5833</td><td>18.1333</td><td>77</td><td>13.8</td></tr>
7,Bubaque,17,GW, 03/15/2021,62,11.2833,-15.8333,79.14,19.46,<tr>,<td>,</td>,</tr>,<tr><td>7</td><td>Bubaque</td><td>17</td><td>GW</td><td> 03/15/2021</td><td>62</td><td>11.2833</td><td>-15.8333</td><td>79.14</td><td>19.46</td></tr>,,,,,<tr><td>7</td><td>Bubaque</td><td>17</td><td>GW</td><td> 03/15/2021</td><td>62</td><td>11.2833</td><td>-15.8333</td><td>79.14</td><td>19.46</td></tr>
8,Haines Junction,100,CA, 03/15/2021,57,60.7522,-137.5108,12.2,1.14,<tr>,<td>,</td>,</tr>,<tr><td>8</td><td>Haines Junction</td><td>100</td><td>CA</td><td> 03/15/2021</td><td>57</td><td>60.7522</td><td>-137.5108</td><td>12.2</td><td>1.14</td></tr>,,,,,<tr><td>8</td><td>Haines Junction</td><td>100</td><td>CA</td><td> 03/15/2021</td><td>57</td><td>60.7522</td><td>-137.5108</td><td>12.2</td><td>1.14</td></tr>
9,Khatanga,100,RU, 03/15/2021,87,71.9667,102.5,-23.04,9.46,<tr>,<td>,</td>,</tr>,<tr><td>9</td><td>Khatanga</td><td>100</td><td>RU</td><td> 03/15/2021</td><td>87</td><td>71.9667</td><td>102.5</td><td>-23.04</td><td>9.46</td></tr>,,,,,<tr><td>9</td><td>Khatanga</td><td>100</td><td>RU</td><td> 03/15/2021</td><td>87</td><td>71.9667</td><td>102.5</td><td>-23.04</td><td>9.46</td></tr>
